office,statefips,countyfips,dem_margin
309,12,12057,-0.004646367331761492
309,12,12059,-0.7195585093757417
309,12,12061,-0.25151086049510707
309,12,12063,-0.3571496983047601
309,12,12065,-0.016837674296237837
309,12,12067,-0.5655274888558692
309,12,12069,-0.2471600381043106
309,12,12071,-0.3112944320159085
309,12,12073,0.17638620799069255
309,12,12075,-0.3987023859355379
309,12,12077,-0.4800747198007472
309,12,12079,-0.12129860863360681
309,12,12081,-0.2037560695334768
309,12,12083,-0.2599156460377971
309,12,12085,-0.18832723916776667
309,12,12086,0.11262747326974087
309,12,12087,-0.06903880597014922
309,12,12089,-0.5505282299965362
309,12,12091,-0.5383801481304027
309,12,12093,-0.32284339133654205
309,12,12095,0.12735119576155812
309,12,12097,0.1336567293276439
309,12,12099,0.09601158396306841
309,12,12101,-0.1936903826848846
309,12,12103,-0.027800499020296687
309,12,12105,-0.16321944687791573
309,12,12107,-0.35315315315315315
309,12,12113,-0.5804732099869316
309,12,12115,-0.14087380617293788
309,12,12117,-0.10503697691197689
309,12,12109,-0.44317847042187125
309,12,12111,0.02409569597069594
309,12,12119,-0.4034928405980206
309,12,12121,-0.4777376005181067
309,12,12123,-0.385023265880316
309,12,12125,-0.5813204508856682
309,12,12127,-0.1376888252773068
309,12,12129,-0.32351587666820064
309,12,12131,-0.5804964220485643
309,12,12133,-0.5515211879753712
311,42,42001,-0.2738758029978587
311,42,42003,0.29548230125450486
311,42,42005,-0.22853054986505383
311,42,42007,0.047485490881717274
311,42,42009,-0.4922963413046309
311,42,42011,-0.09751094882076294
311,42,42013,-0.3217502029969735
311,42,42015,-0.3982082420864026
311,42,42017,-0.04010999602424009
311,42,42019,-0.24896684437994887
311,42,42021,-0.046723360057126184
311,42,42023,-0.2937262357414449
311,42,42025,-0.1605065149568728
311,42,42027,0.02833124520066277
311,42,42029,-0.03804691499292362
311,42,42031,-0.27719359738287186
311,42,42033,-0.2676745087515282
311,42,42035,-0.17914691943127964
311,42,42037,-0.16429270414265523
311,42,42039,-0.30358022663820006
311,42,42041,-0.11094409195096838
311,42,42043,0.10301885002213929
311,42,42045,0.12545400043221538
311,42,42047,-0.16761404007389513
311,42,42049,0.054288313482369954
311,42,42051,-0.0041127630816760186
311,42,42053,-0.24065320154705622
311,42,42055,-0.4099114889142056
311,42,42057,-0.6065498154981549
311,42,42059,-0.06280418694579643
311,42,42061,-0.35523240716696963
311,42,42063,-0.12889476381882436
311,42,42065,-0.401842590155304
311,42,42067,-0.4081891918303528
311,42,42069,0.2915211565012588
311,42,42071,-0.18692157562275713
311,42,42073,-0.07400776640274342
311,42,42075,-0.24191868251789878
311,42,42077,0.03528751716977607
311,42,42079,0.03451047132794405
311,42,42081,-0.32801603206412827
311,42,42083,-0.45035888966524806
311,42,42085,-0.16008750320253834
311,42,42087,-0.4291898577612864
311,42,42089,0.0314607436738229
311,42,42091,0.10981722780107445
311,42,42093,-0.19646931668067735
311,42,42095,-0.03926888370226117
311,42,42097,-0.24261458154075605
311,42,42099,-0.3281565535147611
311,42,42101,0.6629958984937159
311,42,42103,-0.23312785842115724
311,42,42105,-0.5831120552310143
311,42,42107,-0.23433009836280938
311,42,42109,-0.3897212213161388
311,42,42111,-0.32928179933547275
311,42,42113,-0.3083525916143942
311,42,42115,-0.32397499735141433
311,42,42117,-0.5107168839890313
311,42,42119,-0.24282739472466452
311,42,42121,-0.2816790555312637
311,42,42123,-0.32865104640582343
311,42,42125,-0.01358425351914555
311,42,42127,-0.2808257552902642
311,42,42129,-0.08129804362389437
311,42,42131,-0.2757108169499491
311,42,42133,-0.13395334699520534
310,42,42001,-0.3451448624128044
310,42,42003,0.19284068121277426
310,42,42005,-0.32971190222135993
310,42,42007,-0.0600420622667428
310,42,42009,-0.5376502118094579
310,42,42011,-0.061841518240159266
310,42,42013,-0.3687287434506848
310,42,42015,-0.4134710908007153
310,42,42017,0.015390869498937365
310,42,42019,-0.32993881485206605
310,42,42021,-0.12847875445994167
310,42,42023,-0.3257790368271955
310,42,42025,-0.16143367086763316
310,42,42027,0.015595940273128273
310,42,42029,0.0018045888115493791
310,42,42031,-0.34769230769230774
310,42,42033,-0.3241987370427737
310,42,42035,-0.16550335570469804
310,42,42037,-0.19756706853481049
310,42,42039,-0.3092226216282963
310,42,42041,-0.2155183879763251
310,42,42043,0.006922033952061202
310,42,42045,0.16227202964478793
310,42,42047,-0.2348860257680872
